,name,address,sido,gungu
243,대조동점,서울특별시 은평구 역말로9길 40-1. 1층(대조동),서울특별시,은평구
244,대진점,강원도 고성군 현내면 한나루로 112-1,강원도,고성군
245,대천해수욕장점,충청남도 보령시 해수욕장4길 68(신흑동),충청남도,보령시
246,대치동점,서울특별시 강남구 대치동 626 청실상가 108,서울특별시,강남구
247,대학로점,강원도 삼척시 대학로 45(당저동),강원도,삼척시
248,대화1점,대전광역시 대덕구 동심1길 32(대화동),대전광역시,대덕구
249,대화점,강원도 평창군 대화면 대화3길 46,강원도,평창군
250,덕산점,충청북도 진천군 덕산면 덕금로 809,충청북도,진천군
251,덕절리점,경기도 화성시 정남면 발안로 1177,경기도,화성시
252,덕정점,경기도 양주시 덕정길 23,경기도,양주시
253,덕천점,경기도 안양시만안구 덕천로128번길 18(안양동),경기도,안양시
254,덕풍동점,"경기도 하남시 신장동 430-7 성원쌍떼빌 104호, 105호",경기도,하남시
255,도계점,"강원도 삼척시 도계읍 도계로 228, 1/3",강원도,삼척시
256,도고점,충청남도 아산시 도고면 신언리 96-10,충청남도,아산시
257,도구점,경상북도 포항시남구 동해면 일월로 116,경상북도,포항시
258,도당점,경기도 부천시원미구 도당동 284-15 1층,경기도,부천시
259,도련점,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103",제주특별자치도,제주시
260,도림주공점,인천광역시 남동구 논고개로 299,인천광역시,남동구
261,도립대점,강원도 강릉시  주문진읍 연주로 261-1,강원도,강릉시
262,도마점,대전광역시 서구 도마1동 129-30,대전광역시,서구
263,도봉점,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)",서울특별시,도봉구
264,도안지구점,대전광역시 유성구 원신흥남로11번 6-22 (102호),대전광역시,유성구
265,도영점,강원도 원주시 남원로 527번길 6-34(명륜동),강원도,원주시
266,도평점,경기도 광주시 초월읍 현산로 89-6,경기도,광주시
267,도화동점,서울특별시 마포구 도화동 268,서울특별시,마포구
268,독립문점,서울특별시 종로구 통일로 222(교북동),서울특별시,종로구
269,독산1점,서울특별시 금천구 가산로3길 16,서울특별시,금천구
270,독산3점,서울특별시 금천구 독산로 319,서울특별시,금천구
271,독산점,서울특별시 금천구 독산동 1123,서울특별시,금천구
272,동대동점,충청남도 보령시 주공로 24(동대동),충청남도,보령시
273,동두천역전점,경기도 동두천시 어수로 92,경기도,동두천시
274,동두천터미널점,경기도 동두천시 중앙로265번길 15(생연동),경기도,동두천시
275,동명동점,강원도 속초시 장안로 26-2(동명동),강원도,속초시
276,동명점,경상북도 칠곡군 동명면 봉암1길 7,경상북도,칠곡군
277,동문점,경기도 용인시수지구 수풍로 53(풍덕천동),경기도,용인시
278,동방점,서울특별시 성북구 정릉동 227-72,서울특별시,성북구
279,동보점,강원도 원주시 진광길 30(우산동),강원도,원주시
280,동삼점,부산광역시 영도구 태종로 688-2(동삼동),부산광역시,영도구
281,동소문동점,서울특별시 성북구 동선동5가 18,서울특별시,성북구
282,동송점,강원도 철원군 동송읍 금학로 232,강원도,철원군
283,동신점,경기도 수원시장안구 송죽동 488,경기도,수원시
284,동아점,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3,경기도,고양시
285,동암남점,인천광역시 부평구 경인로701번길 43 1층,인천광역시,부평구
286,동인점,대구광역시 중구 동인동3가 238-2,대구광역시,중구
287,동천동점,경기도 용인시수지구 고기로45번길 58 동문그린아파트 상가101호,경기도,용인시
288,동천점,경상북도 경주시 탈해로47번길 6-4,경상북도,경주시
289,동촌점,대구광역시 동구 검사동 960-170,대구광역시,동구
290,동탄1점,경기도 화성시 능동 1110 주공상가 101호,경기도,화성시
291,동탄2점,경기도 화성시 동탄면 중리 동탄청계로 303-14,경기도,화성시
292,동해점,강원도 동해시 천곡2길 4(천곡동),강원도,동해시
293,두구동점,부산광역시 금정구 두구동 230-3,부산광역시,금정구
294,두정2점,"충청남도 천안시서북구 부성6길 23(두정동, 중앙프라자상가105호)",충청남도,천안시
295,두정점,충청남도 천안시서북구 두정역서1길 13,충청남도,천안시
296,두호점,경상북도 포항시북구 두호동 205-26,경상북도,포항시
297,둔덕점,전라남도 여수시 만성로 18,전라남도,여수시
298,둔산1점,대전광역시 서구 둔산동 991 국화동성@상가 202호,대전광역시,서구
299,둔산2점,대전광역시 서구 둔산3동 1972번지,대전광역시,서구
300,둔전점,경기도 용인시처인구 금어로 2(유방동),경기도,용인시
301,등촌제일점,서울특별시 강서구 등촌1동 641-12,서울특별시,강서구
302,뚝섬점,서울특별시 광진구 능동로3가길 4(자양동),서울특별시,광진구
303,레이크타운점,경기도 안산시단원구 광덕동로25 상가동101호,경기도,안산시
304,마도점,경기도 화성시 마도면 석교로 171,경기도,화성시
305,마석점,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)",경기도,남양주시
306,마송점,경기도 김포시 통진읍 조강로 49,경기도,김포시
307,마장동점,"서울특별시 성동구 청계천로10나길 80, 1층(마장동)",서울특별시,성동구
308,마전점,충청남도 금산군 추부면 마전리 571-1,충청남도,금산군
309,마천1점,서울특별시 송파구 마천로61길 9(마천동),서울특별시,송파구
310,마평리점,경기도 용인시처인구 금령로 129(마평동),경기도,용인시
311,만년점,대전광역시 서구 만년로16번길 27(만년동),대전광역시,서구
312,만수1점,인천광역시 남동구 만수서로 97-17(만수동 1층),인천광역시,남동구
313,만수3점,인천광역시 남동구 만수동 861 1층,인천광역시,남동구
314,만수삼환점,인천광역시 남동구 소래로669번길 106호,인천광역시,남동구
315,만수주공점,인천광역시 남동구 장승남로34번길 22 상가 111호,인천광역시,남동구
316,만촌점,대구광역시 수성구 만촌동 963-4,대구광역시,수성구
317,만평점,대구광역시 서구 비산동 1285-2,대구광역시,서구
318,망상점,"강원도 동해시 동해대로 6270-18(망상동, 상가116)",강원도,동해시
319,망우동점,서울특별시 중랑구 망우3동 444-26,서울특별시,중랑구
320,망원동점,서울특별시 마포구 망원2동 475-42,서울특별시,마포구
321,매산점,경기도 수원시팔달구 갓매산로26번길 24,경기도,수원시
322,매송점,경기도 화성시 매송면 원평리 124-18,경기도,화성시
323,매탄점,경기도 수원시영통구 매탄2동 130-10,경기도,수원시
324,매화동점,경기도 시흥시 매화1로 21,경기도,시흥시
325,명곡점,대구광역시 달성군 화원읍 설화리 779-1,대구광역시,달성군
326,명보점,충청북도 제천시 용두천로 112(남천동),충청북도,제천시
327,명일점,서울특별시 강동구 동남로67길 44(명일동),서울특별시,강동구
328,명지점,부산광역시 강서구 명지오션시티10 16 ,부산광역시,강서구
329,모가점,경기도 이천시 모가면 진상미로 1257(성광주택),경기도,이천시
330,모라점,부산광역시 사상구 모라로46번길 70(모라동),부산광역시,사상구
331,모란점,"경기도 성남시중원구 제일로35번길 31, 1층(성남동)",경기도,성남시
332,모산점,충청남도 아산시 배방면 공수리 63-24,충청남도,아산시
333,모슬포점,제주특별자치도 서귀포시 대정읍 상모대서로 25,제주특별자치도,서귀포시
334,모현점,경기도 용인시처인구 모현면 외대로 36,경기도,용인시
335,목감점,경기도 시흥시 동서로 1095,경기도,시흥시
336,목동1점,서울특별시 양천구 목4동 772-12,서울특별시,양천구
337,목동3점,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)",서울특별시,양천구
338,목동시장점,서울특별시 양천구 목동중앙남로10 7,서울특별시,양천구
339,목상석봉점,"대전광역시 대덕구 대덕대로1454번길 11-6(목상동,1층)",대전광역시,대덕구
340,목행점,충청북도 충주시 행정10길 10(목행동),충청북도,충주시
341,무거1점,울산광역시 남구 신복로23번길 15(무거동),울산광역시,남구
342,무실점,강원도 원주시 시청로 88(무실동),강원도,원주시
343,무원삼보점,경기도 고양시덕양구 화신로 31 무원마을 삼보상가 102,경기도,고양시
344,무주리조트,전라북도 무주군 설천면 만선로 185(한솔동 1층),전라북도,무주군
345,무주점,전라북도 무주군 무주읍 읍내리 249-6,전라북도,무주군
346,무지개점,"경기도 성남시분당구 구미동 211, 무지개마을 106",경기도,성남시
347,묵동점,"서울특별시 중랑구 중랑역로 150, 108호(묵동,우성상가)",서울특별시,중랑구
348,묵호점,"강원도 동해시 발한로 137(발한동, 가동)",강원도,동해시
349,문경점,경상북도 문경시 문경읍 주흘로 29,경상북도,문경시
350,문덕점,경상북도 포항시남구 오천읍 문덕리 203-3 청호A상가101,경상북도,포항시
351,문막점,강원도 원주시 문막읍 문막시장1길 55-2,강원도,원주시
352,문산점,경기도 파주시 문산읍 문항로 82,경기도,파주시
353,문정점,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)",서울특별시,송파구
354,문촌점,경기도 고양시일산서구 대산로 183,경기도,고양시
355,문학점,"인천광역시 남구 승학길 4(문학동, 101호)",인천광역시,남구
356,문화동점,충청북도 충주시 사직산1길 15-11(문화동),충청북도,충주시
357,문화점,대전광역시 중구 문화동 788 상가 107호,대전광역시,중구
